date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:18	39527/39527	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:17%20GMT	https://jaipurliteraturefestival.org/speaker/hariprasad-chaurasia&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/hariprasad-chaurasia&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:19	39378/39378	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:18%20GMT	https://jaipurliteraturefestival.org/speaker/ashwin-sanghi-4157&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/ashwin-sanghi-4157&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:19	39636/39636	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:18%20GMT	https://jaipurliteraturefestival.org/speaker/manjiri-prabhu&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/manjiri-prabhu&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:19	39385/39385	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:18%20GMT	https://jaipurliteraturefestival.org/speaker/meghnad-desai-4358&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/meghnad-desai-4358&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:20	39846/39846	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:19%20GMT	https://jaipurliteraturefestival.org/speaker/shailendra-raj-mehta&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/shailendra-raj-mehta&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:20	39560/39560	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:19%20GMT	https://jaipurliteraturefestival.org/speaker/rana-safvi-4199&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/rana-safvi-4199&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:21	39592/39592	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:20%20GMT	https://jaipurliteraturefestival.org/speaker/ananda-devi-4303&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/ananda-devi-4303&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:21	39558/39558	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:20%20GMT	https://jaipurliteraturefestival.org/speaker/katy-hessel&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/katy-hessel&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:22	39611/39611	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:21%20GMT	https://jaipurliteraturefestival.org/speaker/alex-renton&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/alex-renton&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:22	39383/39383	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:21%20GMT	https://jaipurliteraturefestival.org/speaker/rick-stroud-4237&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/rick-stroud-4237&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:22	39530/39530	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:21%20GMT	https://jaipurliteraturefestival.org/speaker/sohini-roychowdhury-4301&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/sohini-roychowdhury-4301&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:23	39448/39448	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:22%20GMT	https://jaipurliteraturefestival.org/speaker/shiv-kunal-verma&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/shiv-kunal-verma&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:23	39742/39742	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:22%20GMT	https://jaipurliteraturefestival.org/speaker/sandeep-unnithan-4441&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/sandeep-unnithan-4441&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:24	39353/39353	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:23%20GMT	https://jaipurliteraturefestival.org/speaker/rati-saxena&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/rati-saxena&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:24	39616/39616	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:23%20GMT	https://jaipurliteraturefestival.org/speaker/anshu-harsh-4450&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/anshu-harsh-4450&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:24	39274/39274	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:23%20GMT	https://jaipurliteraturefestival.org/speaker/irshad-kamil&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/irshad-kamil&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:25	39437/39437	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:24%20GMT	https://jaipurliteraturefestival.org/speaker/deepa-bhasthi&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/deepa-bhasthi&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:25	39541/39541	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:24%20GMT	https://jaipurliteraturefestival.org/speaker/garfield-dsouza&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/garfield-dsouza&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:26	39375/39375	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:25%20GMT	https://jaipurliteraturefestival.org/speaker/juri-baruah&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/juri-baruah&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:26	39400/39400	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:25%20GMT	https://jaipurliteraturefestival.org/speaker/sanah-ahsan&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/sanah-ahsan&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:27	39503/39503	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:26%20GMT	https://jaipurliteraturefestival.org/speaker/k-satchidanandan-4438&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/k-satchidanandan-4438&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:27	39333/39333	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:26%20GMT	https://jaipurliteraturefestival.org/speaker/kanta-singh&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/kanta-singh&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:27	39487/39487	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:27%20GMT	https://jaipurliteraturefestival.org/speaker/nilanjana-bhowmick&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/nilanjana-bhowmick&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:28	39603/39603	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:27%20GMT	https://jaipurliteraturefestival.org/speaker/kris-manjapra&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/kris-manjapra&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:28	39478/39478	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:27%20GMT	https://jaipurliteraturefestival.org/speaker/andrew-altschul&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/andrew-altschul&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:29	39718/39718	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:28%20GMT	https://jaipurliteraturefestival.org/speaker/jawhar-sircar&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/jawhar-sircar&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
